company_id,company_name,capital_score,rating,reinvestment_ratio,reinvestment_category,dividend_policy,cash_utilization,debt_trend,leverage
TATAPOWER,"Tata Power Company Ltd
",86,Excellent,71.67,Growth Focused,Low Dividend,Healthy Capital Allocation,Increasing Debt,High
TATASTEEL,"Tata Steel Ltd
",100,Excellent,70.21,Growth Focused,Low Dividend,Healthy Capital Allocation,Increasing Debt,Moderate
TCS,Tata Consultancy Services Ltd,35,Weak,13.74,Low Reinvestment,Unknown,Asset Monetization,Increasing Debt,Unknown
TECHM,Tech Mahindra Ltd,100,Excellent,20.67,Low Reinvestment,High Dividend,Healthy Capital Allocation,Stable Debt,Low
TITAN,"Titan Company Ltd
",85,Excellent,11.15,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,High
TORNTPHARM,Torrent Pharmaceuticals Ltd,100,Excellent,4.9,Low Reinvestment,High Dividend,Healthy Capital Allocation,Deleveraging,Moderate
TRENT,Trent Ltd,100,Excellent,37.66,Balanced,Low Dividend,Healthy Capital Allocation,Deleveraging,Low
TVSMOTOR,TVS Motor Company Ltd,58,Average,79.89,Growth Focused,Moderate Dividend,Financial Stress,Increasing Debt,Very High
ULTRACEMCO,,100,Excellent,80.65,Growth Focused,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Low
UNIONBANK,,70,Good,6.99,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Very High
UNITDSPR,,35,Weak,20.21,Low Reinvestment,Moderate Dividend,Asset Monetization,Unknown,Unknown
VBL,,32,Weak,137.52,Aggressive Expansion,Low Dividend,Expansion Using External Funding,Unknown,Unknown
VEDL,,52,Weak,38.36,Balanced,High Dividend,Healthy Capital Allocation,Unknown,Unknown
WIPRO,,28,Weak,6.49,Low Reinvestment,Low Dividend,Asset Monetization,Unknown,Unknown
ZOMATO,,40,Weak,53.87,Balanced,No Dividend,Healthy Capital Allocation,Unknown,Unknown
ZYDUSLIFE,,48,Weak,46.22,Balanced,Low Dividend,Healthy Capital Allocation,Unknown,Unknown
