company_id,company_name,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,revenue_cagr_5yr,composite_quality_score,flag,roe_score,roce_score,growth_score,margin_score,quality_score,valuation_score,overall_score,grade,rank,recommendation,risk_level,strengths,weaknesses,investment_view,risk_summary,opportunities
BRITANNIA,Britannia Industries Ltd,Consumer Staples,54.15,52.73,12.73,8.69,44.92,Fair,20,20,7,10,5,8,70,B+,27,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
COALINDIA,Coal India Ltd,Materials,45.17,105.71,26.26,7.4,44.25,Discount,20,20,7,15,5,10,77,B+,9,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,34.4,44.56,26.02,17.96,43.52,Caution,20,20,12,15,5,5,77,B+,7,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth', 'Excellent Profit Margin']","['Weak Quality Score', 'Expensive Compared to Sector']",Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
ABB,Abbott India Ltd,Industrials,32.47,38.42,20.53,9.72,40.19,Caution,20,20,7,15,5,5,72,B+,19,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin']","['Weak Quality Score', 'Expensive Compared to Sector']",Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
PNB,Punjab National Bank,Financials,61.32,,8.4,15.9,39.68,Discount,20,0,12,7,5,10,54,C,67,🟠 Watch,High,"['High Return on Equity', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
LTIM,LTIMindtree Ltd,Information Technology,22.9,28.91,12.91,30.33,38.71,Fair,18,20,15,10,5,8,76,B+,11,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
ITC,"ITC Ltd
",Consumer Staples,27.85,35.07,29.28,7.95,38.57,Fair,20,20,7,15,5,8,75,B+,12,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,29.68,35.77,15.66,13.03,38.43,Fair,20,20,10,12,5,8,75,B+,13,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
BPCL,Bharat Petroleum Corporation Ltd,Energy,35.51,33.85,5.99,8.48,38.25,Caution,20,20,7,7,5,5,64,B,35,🟠 Watch,High,"['High Return on Equity', 'Strong Capital Efficiency']","['Weak Quality Score', 'Expensive Compared to Sector']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
INFY,Infosys Ltd,Information Technology,29.79,37.76,17.08,13.2,37.9,Discount,20,20,10,12,5,10,77,B+,8,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
TITAN,"Titan Company Ltd
",Consumer Discretionary,37.22,21.24,6.84,20.9,37.88,Discount,20,18,15,7,5,10,75,B+,14,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
JIOFIN,Jio Financial Services Ltd,Financials,1.15,1.12,86.52,,37.72,Fair,5,5,0,15,5,8,38,D,91,🔴 High Risk,Very High,['Excellent Profit Margin'],"['Low Return on Equity', 'Weak Capital Efficiency', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,22.17,23.45,24.2,11.04,36.2,Discount,18,18,10,15,5,10,76,B+,10,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,26.61,28.39,17.18,8.13,35.91,Fair,20,20,7,12,5,8,72,B+,18,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,19.74,26.22,19.91,12.64,35.71,Discount,15,20,10,12,5,10,72,B+,21,🟡 Hold,Moderate,"['Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Potential upside due to attractive valuation.']
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,24.15,30.96,15.44,6.93,35.2,Fair,18,20,7,12,5,8,70,B+,25,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
ATGL,Adani Total Gas Ltd,Energy,18.66,21.49,14.93,21.09,34.89,Fair,15,18,15,10,5,8,71,B+,24,🟡 Hold,Moderate,"['Strong Capital Efficiency', 'Healthy Revenue Growth']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Strong revenue growth supports future expansion.']
HCLTECH,HCL Technologies Ltd,Information Technology,23.01,32.69,14.29,12.71,34.69,Fair,18,20,10,10,5,8,71,B+,23,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,37.46,30.98,7.26,7.72,34.39,Caution,20,20,7,7,5,5,64,B,36,🟠 Watch,High,"['High Return on Equity', 'Strong Capital Efficiency']","['Weak Quality Score', 'Expensive Compared to Sector']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,15.35,15.25,30.34,19.58,34.22,Fair,15,15,12,15,5,8,70,B+,28,🟡 Hold,Moderate,"['Healthy Revenue Growth', 'Excellent Profit Margin']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Strong revenue growth supports future expansion.']
PIDILITIND,Pidilite Industries Ltd,Materials,20.78,30.81,14.11,11.84,34.15,Discount,18,20,10,10,5,10,73,B+,17,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,15.09,19.45,19.82,10.78,33.79,Fair,15,15,10,12,5,8,65,B,34,🟠 Watch,High,['Excellent Profit Margin'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,20.07,89.63,16.61,9.5,33.62,Discount,18,20,7,12,5,10,72,B+,20,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
DMART,Avenue Supermarts Ltd,Consumer Discretionary,13.56,21.29,4.99,20.48,33.45,Caution,10,18,15,3,5,5,56,C,59,🟠 Watch,High,"['Strong Capital Efficiency', 'Healthy Revenue Growth']","['Low Profit Margin', 'Weak Quality Score', 'Expensive Compared to Sector']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
SBIN,State Bank of India,Financials,,,15.83,11.63,33.25,Caution,0,0,10,12,5,5,32,D,94,🔴 High Risk,Very High,['Excellent Profit Margin'],"['Weak Quality Score', 'Expensive Compared to Sector']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
SIEMENS,Siemens Ltd,Industrials,17.7,19.85,12.22,11.19,33.14,Fair,15,15,10,10,5,8,63,B,41,🟠 Watch,High,['No major financial strengths identified'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
CIPLA,"Cipla Ltd
",Healthcare,15.55,71.46,16.12,9.51,33.12,Fair,15,20,7,12,5,8,67,B,29,🟠 Watch,High,"['Strong Capital Efficiency', 'Excellent Profit Margin']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
BOSCHLTD,Bosch Ltd,Consumer Discretionary,20.64,17.31,14.89,6.72,33.1,Caution,18,15,7,10,5,5,60,B,48,🟠 Watch,High,['High Return on Equity'],"['Weak Quality Score', 'Expensive Compared to Sector']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
IOC,"Indian Oil Corporation
",Energy,23.53,23.94,5.56,8.01,32.73,Discount,18,18,7,7,5,10,65,B,31,🟠 Watch,High,"['High Return on Equity', 'Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
POWERGRID,Power Grid Corporation of India Ltd,Energy,17.87,18.91,33.97,5.51,32.13,Fair,15,15,7,15,5,8,65,B,33,🟠 Watch,High,['Excellent Profit Margin'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
HAVELLS,Havells India Ltd,Industrials,17.07,24.27,6.84,13.04,31.72,Fair,15,18,10,7,5,8,63,B,37,🟠 Watch,High,['Strong Capital Efficiency'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
DLF,DLF Ltd,Real Estate,6.91,4.8,42.38,-5.14,31.56,Fair,5,5,3,15,5,8,41,D,90,🔴 High Risk,Very High,['Excellent Profit Margin'],"['Low Return on Equity', 'Weak Capital Efficiency', 'Slow Revenue Growth', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
DABUR,Dabur India Ltd,Consumer Staples,18.36,21.37,14.6,7.81,31.52,Fair,15,18,7,10,5,8,63,B,39,🟠 Watch,High,['Strong Capital Efficiency'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,15.75,21.72,9.51,10.51,31.42,Discount,15,18,10,7,5,10,65,B,32,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
NHPC,"NHPC Ltd
",Energy,10.41,6.75,41.82,1.4,31.36,Caution,10,5,3,15,5,5,43,D,88,🔴 High Risk,Very High,['Excellent Profit Margin'],"['Weak Capital Efficiency', 'Slow Revenue Growth', 'Weak Quality Score', 'Expensive Compared to Sector']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,21.14,177.84,9.9,2.15,31.24,Fair,18,20,3,7,5,8,61,B,45,🟠 Watch,High,"['High Return on Equity', 'Strong Capital Efficiency']","['Slow Revenue Growth', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,13.48,19.51,4.91,14.66,31.11,Fair,10,15,10,3,5,8,51,C,74,🟠 Watch,High,['No major financial strengths identified'],"['Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
BAJFINANCE,Bajaj Finance Ltd,Financials,18.84,4.35,26.29,24.35,30.95,Caution,15,5,15,15,5,5,60,B,50,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin']","['Weak Capital Efficiency', 'Weak Quality Score', 'Expensive Compared to Sector']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,15.72,146.32,9.37,12.91,30.92,Fair,15,20,10,7,5,8,65,B,30,🟠 Watch,High,['Strong Capital Efficiency'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
DIVISLAB,Divis Laboratories Ltd,Healthcare,11.79,16.28,20.4,9.66,30.51,Fair,10,15,7,15,5,8,60,B,49,🟠 Watch,High,['Excellent Profit Margin'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
ULTRACEMCO,,,11.63,18.11,9.88,11.33,30.46,Unknown,10,15,10,7,5,6,53,C,70,🟠 Watch,High,['No major financial strengths identified'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
ONGC,Oil & Natural Gas Corpn Ltd,Energy,16.94,20.98,9.66,7.0,29.94,Discount,15,18,7,7,5,10,62,B,43,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
SBILIFE,SBI Life Insurance Company Ltd,Financials,12.7,1.65,1.43,24.23,29.43,Caution,10,5,15,3,5,5,43,D,84,🔴 High Risk,Very High,['Healthy Revenue Growth'],"['Weak Capital Efficiency', 'Low Profit Margin', 'Weak Quality Score', 'Expensive Compared to Sector']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Strong revenue growth supports future expansion.']
GAIL,GAIL (India) Ltd,Energy,12.86,14.49,7.43,11.83,29.13,Discount,10,10,10,7,5,10,52,C,72,🟠 Watch,High,['Trading Below Sector Valuation'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
AMBUJACEM,Ambuja Cements Ltd,Materials,11.43,15.18,14.29,4.12,29.07,Fair,10,15,3,10,5,8,51,C,75,🟠 Watch,High,['No major financial strengths identified'],"['Slow Revenue Growth', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
ZOMATO,,,,,2.9,55.96,28.97,Unknown,0,0,15,3,5,6,29,D,96,🔴 High Risk,Very High,['Healthy Revenue Growth'],"['Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Strong revenue growth supports future expansion.']
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,7.57,11.69,7.99,15.96,28.91,Fair,5,10,12,7,5,8,47,D,79,🔴 High Risk,Very High,['Healthy Revenue Growth'],"['Low Return on Equity', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Strong revenue growth supports future expansion.']
ADANIENT,Adani Enterprises Ltd,Industrials,8.53,10.9,3.46,19.02,28.37,Fair,5,10,12,3,5,8,43,D,86,🔴 High Risk,Very High,['Healthy Revenue Growth'],"['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Strong revenue growth supports future expansion.']
BAJAJFINSV,Bajaj Finserv Ltd,Financials,25.85,11.71,14.13,20.97,28.02,Discount,20,10,15,10,5,10,70,B+,26,🟡 Hold,Moderate,"['High Return on Equity', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
NAUKRI,Info Edge (India) Ltd,Communication Services,1.97,2.33,23.46,17.12,28.01,Discount,5,5,12,15,5,10,52,C,73,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,18.54,14.24,8.82,5.84,27.97,Discount,15,10,7,7,5,10,54,C,65,🟠 Watch,High,['Trading Below Sector Valuation'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,10.73,646.46,1.55,21.17,27.89,Fair,10,20,15,3,5,8,61,B,46,🟠 Watch,High,"['Strong Capital Efficiency', 'Healthy Revenue Growth']","['Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
SHREECEM,Shree Cement Ltd,Materials,8.37,20.21,8.45,10.33,27.87,Discount,5,18,10,7,5,10,55,C,61,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,14.01,7.23,32.39,13.52,27.52,Fair,10,5,10,15,5,8,53,C,71,🟠 Watch,High,['Excellent Profit Margin'],"['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
RELIANCE,"Reliance Industries Ltd
",Energy,9.96,12.97,8.79,9.61,27.5,Fair,5,10,7,7,5,8,42,D,89,🔴 High Risk,Very High,['No major financial strengths identified'],"['Low Return on Equity', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,26.22,16.77,4.54,14.19,27.45,Fair,20,15,10,3,5,8,61,B,44,🟠 Watch,High,['High Return on Equity'],"['Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
GRASIM,Grasim Industries Ltd,Industrials,11.2,12.04,7.58,11.15,27.26,Caution,10,10,10,7,5,5,47,D,81,🔴 High Risk,Very High,['No major financial strengths identified'],"['Weak Quality Score', 'Expensive Compared to Sector']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
JINDALSTEL,Jindal Steel & Power Ltd,Materials,13.41,16.78,11.8,1.4,27.16,Fair,10,15,3,10,5,8,51,C,77,🟠 Watch,High,['No major financial strengths identified'],"['Slow Revenue Growth', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
NTPC,NTPC Ltd,Energy,13.27,12.93,11.95,12.22,27.15,Discount,10,10,10,10,5,10,55,C,60,🟠 Watch,High,['Trading Below Sector Valuation'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
HINDALCO,Hindalco Industries Ltd,Materials,9.57,118.21,4.7,10.59,27.07,Fair,5,20,10,3,5,8,51,C,78,🟠 Watch,High,['Strong Capital Efficiency'],"['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
ICICIBANK,ICICI Bank Ltd,Financials,17.99,5.22,28.89,17.25,27.03,Fair,15,5,12,15,5,8,60,B,52,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
ZYDUSLIFE,,,,,20.33,8.22,26.89,Unknown,0,0,7,15,5,6,33,D,93,🔴 High Risk,Very High,['Excellent Profit Margin'],['Weak Quality Score'],High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,15.12,4.3,20.33,18.56,26.66,Caution,15,5,12,15,5,5,57,C,57,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin']","['Weak Capital Efficiency', 'Weak Quality Score', 'Expensive Compared to Sector']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
TATAPOWER,"Tata Power Company Ltd
",Energy,13.23,12.48,6.97,15.51,26.51,Discount,10,10,12,7,5,10,54,C,66,🟠 Watch,High,"['Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
