company_id,company_name,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,revenue_cagr_5yr,composite_quality_score,flag,roe_score,roce_score,growth_score,margin_score,quality_score,valuation_score,overall_score,grade,rank,recommendation,risk_level,strengths,weaknesses,investment_view,risk_summary,opportunities
BAJAJFINSV,Bajaj Finserv Ltd,Financials,25.85,11.71,14.13,20.97,28.02,Discount,20,10,15,10,5,10,70,B+,26,🟡 Hold,Moderate,"['High Return on Equity', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
IOC,"Indian Oil Corporation
",Energy,23.53,23.94,5.56,8.01,32.73,Discount,18,18,7,7,5,10,65,B,31,🟠 Watch,High,"['High Return on Equity', 'Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,15.75,21.72,9.51,10.51,31.42,Discount,15,18,10,7,5,10,65,B,32,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,17.46,3.5,17.85,21.94,21.71,Discount,15,5,15,12,5,10,62,B,42,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
ONGC,Oil & Natural Gas Corpn Ltd,Energy,16.94,20.98,9.66,7.0,29.94,Discount,15,18,7,7,5,10,62,B,43,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
BANKBARODA,Bank of Baroda,Financials,15.76,2.82,15.94,17.48,18.85,Discount,15,5,12,12,5,10,59,C,53,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
IRFC,Indian Railway Finance Corporation Ltd,Financials,13.04,5.75,24.06,19.07,17.85,Discount,10,5,12,15,5,10,57,C,58,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
NTPC,NTPC Ltd,Energy,13.27,12.93,11.95,12.22,27.15,Discount,10,10,10,10,5,10,55,C,60,🟠 Watch,High,['Trading Below Sector Valuation'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
SHREECEM,Shree Cement Ltd,Materials,8.37,20.21,8.45,10.33,27.87,Discount,5,18,10,7,5,10,55,C,61,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,7.73,754.9,0.94,16.85,24.94,Discount,5,20,12,3,5,10,55,C,63,🟠 Watch,High,"['Strong Capital Efficiency', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
INDUSINDBK,IndusInd Bank Ltd,Financials,14.25,3.56,19.56,15.5,19.74,Discount,10,5,12,12,5,10,54,C,64,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,18.54,14.24,8.82,5.84,27.97,Discount,15,10,7,7,5,10,54,C,65,🟠 Watch,High,['Trading Below Sector Valuation'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
TATAPOWER,"Tata Power Company Ltd
",Energy,13.23,12.48,6.97,15.51,26.51,Discount,10,10,12,7,5,10,54,C,66,🟠 Watch,High,"['Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
PNB,Punjab National Bank,Financials,61.32,,8.4,15.9,39.68,Discount,20,0,12,7,5,10,54,C,67,🟠 Watch,High,"['High Return on Equity', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,11.55,20.23,3.06,9.21,26.44,Discount,10,18,7,3,5,10,53,C,68,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']","['Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
GAIL,GAIL (India) Ltd,Energy,12.86,14.49,7.43,11.83,29.13,Discount,10,10,10,7,5,10,52,C,72,🟠 Watch,High,['Trading Below Sector Valuation'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
NAUKRI,Info Edge (India) Ltd,Communication Services,1.97,2.33,23.46,17.12,28.01,Discount,5,5,12,15,5,10,52,C,73,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
JSWENERGY,JSW Energy Ltd,Energy,8.28,10.27,15.02,4.68,25.8,Discount,5,10,3,12,5,10,45,D,82,🔴 High Risk,Very High,"['Excellent Profit Margin', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Slow Revenue Growth', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Potential upside due to attractive valuation.']
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,-4.45,18.69,-3.98,6.45,18.86,Discount,5,15,7,3,5,10,45,D,83,🔴 High Risk,Very High,['Trading Below Sector Valuation'],"['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Potential upside due to attractive valuation.']
BHEL,"Bharat Heavy Electricals Limited
",Industrials,1.15,2.14,1.18,-4.73,17.37,Discount,5,5,3,3,5,10,31,D,95,🔴 High Risk,Very High,['Trading Below Sector Valuation'],"['Low Return on Equity', 'Weak Capital Efficiency', 'Slow Revenue Growth', 'Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Potential upside due to attractive valuation.']
